Nombre,3DS,PC,PS3,PSP,PSV,X360,PS4,XOne,Año,Genero-Editorial,Unnamed2,Ventas NA,Ventas EU,Ventas JP,Ventas Otros,Ventas Global
ZombiU,,,,,,,PS4,,2016,Action-Ubisoft,,0,"0,04","0,01","0,01","0,05"
Zombie Army Trilogy,,,,,,,PS4,,2015,Shooter-Rebellion Developments,,"0,04","0,12",0,"0,03","0,2"
Zombie Army Trilogy,,,,,,,,XOne,2015,Shooter-Rebellion Developments,,"0,04","0,05",0,"0,01","0,1"
Zero Escape: Zero Time Dilemma,3DS,,,,,,,,2016,Adventure-Aksys Games,,"0,04",0,"0,01","0,01","0,06"
Zero Escape: Zero Time Dilemma,,,,,PSV,,,,2016,Adventure-Aksys Games,,"0,03",0,"0,02","0,01","0,06"
Yuusha Shisu.,,,,,PSV,,,,2016,Role-Playing-Nippon Ichi Software,,0,0,"0,02",0,"0,02"
Yuki Yuna is a Hero: Memory of the Forest,,,,,PSV,,,,2015,Action-FuRyu,,0,0,"0,04",0,"0,04"
Ys VIII: Lacrimosa of Dana,,,,,PSV,,,,2016,Role-Playing-Nihon Falcom Corporation,,0,0,"0,09",0,"0,09"
Yowamushi Pedal,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,04",0,"0,04"
Yoru no Nai Kuni,,,,,,,PS4,,2015,Role-Playing-Tecmo Koei,,0,0,"0,08",0,"0,08"
Yoru no Nai Kuni,,,,,PSV,,,,2015,Role-Playing-Tecmo Koei,,0,0,"0,07",0,"0,07"
Yoru no Nai Kuni,,,PS3,,,,,,2015,Role-Playing-Tecmo Koei,,0,0,"0,05",0,"0,05"
Yomawari,,,,,PSV,,,,2015,Adventure-Nippon Ichi Software,,0,0,"0,06",0,"0,06"
Yokai Watch Busters,3DS,,,,,,,,2015,Action-Level 5,,0,0,"2,28",0,"2,28"
Yokai Watch 3,3DS,,,,,,,,2016,Action-Level 5,,0,0,"1,27",0,"1,27"
Yokai Sangokushi,3DS,,,,,,,,2016,Action-Level 5,,0,0,"0,55",0,"0,55"
Yakuza Zero: The Place of Oath,,,PS3,,,,,,2015,Action-Sega,,0,0,"0,25",0,"0,25"
Yakuza Zero: The Place of Oath,,,,,,,PS4,,2015,Action-Sega,,0,0,"0,17",0,"0,17"
Yakuza Kiwami,,,,,,,PS4,,2016,Adventure-Sega,,0,0,"0,16",0,"0,16"
Yakuza Kiwami,,,PS3,,,,,,2016,Adventure-Sega,,0,0,"0,12",0,"0,12"
Xenoblade Chronicles,3DS,,,,,,,,2015,Role-Playing-Nintendo,,"0,26","0,14","0,12","0,04","0,56"
XCOM 2,,PC,,,,,,,2016,Strategy-Take-Two Interactive,,"0,09","0,1",0,"0,02","0,2"
XCOM 2,,,,,,,PS4,,2016,Strategy-Take-Two Interactive,,"0,01","0,02",0,"0,01","0,04"
XCOM 2,,,,,,,,XOne,2016,Strategy-Take-Two Interactive,,"0,01","0,01",0,0,"0,02"
Xblaze: Lost Memories,,,,,PSV,,,,2015,Adventure-Arc System Works,,"0,02",0,0,"0,01","0,03"
Xblaze: Lost Memories,,,PS3,,,,,,2015,Adventure-Arc System Works,,"0,01",0,0,0,"0,02"
WWE 2K16,,,,,,,PS4,,2015,Sports-Take-Two Interactive,,"0,41","0,6",0,"0,19","1,2"
WWE 2K16,,,,,,,,XOne,2015,Sports-Take-Two Interactive,,"0,31","0,22",0,"0,05","0,58"
WWE 2K16,,,PS3,,,,,,2015,Sports-Take-Two Interactive,,"0,21","0,27",0,"0,09","0,58"
WWE 2K16,,,,,,X360,,,2015,Sports-Take-Two Interactive,,"0,27","0,19",0,"0,04","0,5"
WRC 5: FIA World Rally Championship,,,PS3,,,,,,2015,Sports-Bigben Interactive,,"0,02","0,09",0,"0,02","0,12"
WRC 5: FIA World Rally Championship,,,,,PSV,,,,2015,Sports-Bigben Interactive,,0,"0,06",0,"0,02","0,08"
WRC 5: FIA World Rally Championship,,,,,,,PS4,,2015,Sports-Bigben Interactive,,0,"0,04",0,"0,01","0,05"
WRC 5: FIA World Rally Championship,,,,,,X360,,,2015,Sports-Bigben Interactive,,0,"0,02",0,0,"0,02"
WRC 5: FIA World Rally Championship,,,,,,,,XOne,2015,Sports-Bigben Interactive,,0,"0,01",0,0,"0,01"
Worms: WMD,,,,,,,PS4,,2016,Action-Sold Out,,"0,01","0,01",0,0,"0,02"
Worms: WMD,,,,,,,PS4,,2016,Action-Sold Out,,"0,01","0,01",0,0,"0,02"
World Trigger: Borderless Mission,,,,,PSV,,,,2015,Action-Namco Bandai Games,,0,0,"0,04",0,"0,04"
World of Warcraft: Legion,,PC,,,,,,,2016,Role-Playing-Activision,,"0,14","0,12",0,"0,02","0,29"
Wolfenstein: The Old Blood,,,,,,,PS4,,2015,Action-Bethesda Softworks,,"0,09","0,25","0,02","0,06","0,42"
Wolfenstein: The Old Blood,,,,,,,,XOne,2015,Action-Bethesda Softworks,,"0,07","0,07",0,"0,01","0,15"
Wolfenstein: The Old Blood,,PC,,,,,,,2015,Action-Bethesda Softworks,,0,"0,08",0,0,"0,08"
Winning Post 8 2016,,,,,,,PS4,,2016,Simulation-Tecmo Koei,,0,0,"0,02",0,"0,02"
Winning Post 8 2015,,,,,PSV,,,,2015,Action-Tecmo Koei,,0,0,"0,02",0,"0,02"
Winning Post 8 2015,,,PS3,,,,,,2015,Action-Tecmo Koei,,0,0,"0,02",0,"0,02"
Wasteland 2,,,,,,,PS4,,2015,Role-Playing-Deep Silver,,"0,07",0,"0,01","0,02","0,1"
Wasteland 2,,PC,,,,,,,2015,Role-Playing-inXile Entertainment,,"0,02","0,06",0,"0,01","0,1"
Wasteland 2,,,,,,,,XOne,2015,Role-Playing-Deep Silver,,"0,04","0,01",0,0,"0,05"
War for the Overworld,,PC,,,,,,,2015,Strategy-Unknown,,0,"0,01",0,0,"0,01"
Wand of Fortune R,,,,,PSV,,,,2016,Adventure-Idea Factory,,0,0,"0,01",0,"0,01"
Valkyrie Drive: Bhikkhuni,,,,,PSV,,,,2015,Action-PQube,,0,"0,01","0,07",0,"0,08"
Valkyria Chronicles,,,,,,,PS4,,2016,Role-Playing-Sega,,"0,06","0,04","0,05","0,02","0,17"
Valentino Rossi: The Game,,,,,,,PS4,,2016,Racing-Namco Bandai Games,,"0,01","0,05",0,"0,01","0,06"
Valentino Rossi: The Game,,,,,,,,XOne,2016,Racing-Namco Bandai Games,,0,"0,02",0,0,"0,02"
Valentino Rossi: The Game,,PC,,,,,,,2016,Racing-Namco Bandai Games,,0,"0,01",0,0,"0,01"
Utawarerumono: Itsuwari no Kamen,,,,,PSV,,,,2015,Adventure-Aqua Plus,,0,0,"0,07",0,"0,07"
Utawarerumono: Itsuwari no Kamen,,,,,,,PS4,,2015,Adventure-Aqua Plus,,0,0,"0,06",0,"0,06"
Utawarerumono: Itsuwari no Kamen,,,PS3,,,,,,2015,Adventure-Aqua Plus,,0,0,"0,05",0,"0,05"
Utawarerumono: Futari no Hakuoro,,,,,PSV,,,,2016,Misc-Aqua Plus,,0,0,"0,05",0,"0,05"
Utawarerumono: Futari no Hakuoro,,,,,,,PS4,,2016,Misc-Aqua Plus,,0,0,"0,04",0,"0,04"
Utawarerumono: Futari no Hakuoro,,,PS3,,,,,,2016,Misc-Aqua Plus,,0,0,"0,01",0,"0,01"
Uta no Prince-Sama: Music 3,,,,,PSV,,,,2016,Action-Broccoli,,0,0,"0,05",0,"0,05"
Uta no Prince-Sama: All Star After Secret,,,,PSP,,,,,2015,Action-Broccoli,,0,0,"0,08",0,"0,08"
Uppers,,,,,PSV,,,,2016,Action-Marvelous Entertainment,,0,0,"0,01",0,"0,01"
Until Dawn,,,,,,,PS4,,2015,Adventure-Sony Computer Entertainment Europe,,"0,44","0,89","0,05","0,25","1,64"
Uncharted: The Nathan Drake Collection,,,,,,,PS4,,2015,Action-Sony Computer Entertainment,,"1,96","1,69","0,08","0,74","4,47"
Uncharted 4: A Thief's End,,,,,,,PS4,,2016,Shooter-Sony Computer Entertainment,,"1,3","2,07","0,18","0,65","4,2"
Ultra Street Fighter IV,,,,,,,PS4,,2015,Fighting-Capcom,,0,"0,08",0,"0,01","0,1"
Ukiyo no Shishi,,,PS3,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,03",0,"0,03"
Ukiyo no Roushi,,,,,PSV,,,,2015,Action-Unknown,,0,0,"0,02",0,"0,02"
UEFA Euro 2016,,,,,,,PS4,,2016,Sports-Konami Digital Entertainment,,0,"0,21","0,03","0,03","0,28"
UEFA Euro 2016,,,PS3,,,,,,2016,Sports-Konami Digital Entertainment,,0,"0,08","0,02","0,01","0,11"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,,,PS3,,,,,,2016,Misc-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,,,PS3,,,,,,2016,Misc-Namco Bandai Games,,0,0,"0,02",0,"0,02"
